genus_species,number_of_populations,database
Adenifera armata,90,BioTIME
Adenocline pauciflora,1,BioTIME
Adenomera marmorata,19,BioTIME
Adenorama marmorata,2,BioTIME
Adenostyles glabra,1,BioTIME
Adeona sp1,8,BioTIME
Adeonella lichenoides,283,BioTIME
Adeonella sp2,17,BioTIME
Adeonellopsis gracilis,1,BioTIME
Adeonellopsis kermadecensis,9,BioTIME
Adeonellopsis neozelanica,40,BioTIME
Adeonellopsis pentapora,147,BioTIME
Adeonellopsis pervipuncta,2,BioTIME
Adeonellopsis sp1,25,BioTIME
Adeonellopsis sp2,11,BioTIME
Aderus populneus,1,BioTIME
Adicella filicornis,1,BioTIME
Adicella reducta,1,BioTIME
Adipicola ,5,BioTIME
Adipicola crypta,3,BioTIME
Adipicola pacifica,6,BioTIME
Admete ,2,BioTIME
Admete contabulata,3,BioTIME
Admete couthouyi,47,BioTIME
Admete gracilior,1,BioTIME
Admete sp,1,BioTIME
Admete tenuissima,5,BioTIME
Admete viridula,21,BioTIME
Adontorhina cyclia,112,BioTIME
Adontorhina lynnae,6,BioTIME
Adoxophyes orana,1,BioTIME
Adrana tellinoides,12,BioTIME
Adrastus pallens,1,BioTIME
Adreus fascicularis,3,BioTIME
Adventor elongatus,34,BioTIME
Adyte assimilis,2,BioTIME
Aechmophorus clarkii,4,BioTIME
Aechmophorus occidentalis,51,BioTIME
Aedicira ,23,BioTIME
Aedicira belgicae,168,BioTIME
Aedicira pacifica,11,BioTIME
Aedicira parva,1,BioTIME
Aega ,10,BioTIME
Aega dentata,1,BioTIME
Aega monophthalma,1,BioTIME
Aega psora,6,BioTIME
Aega ventrosa,1,BioTIME
Aegathoa medialis,2,BioTIME
Aegathoa oculata,2,BioTIME
Aegialites sp,1,BioTIME
Aegidae ,2,BioTIME
Aegina citrea,73,BioTIME
Aeginella longicornis,50,BioTIME
Aeginella spinosa,2,BioTIME
Aeginellidae ,17,BioTIME
Aeginellidae sp1,9,BioTIME
Aeginina ,34,BioTIME
Aeginina longicornis,305,BioTIME
Aeginopsis ,33,BioTIME
Aeginopsis laurentii,400,BioTIME
Aeginopsis sp,21,BioTIME
Aeginura grimaldii,62,BioTIME
Aegiphila integrifolia,2,BioTIME
Aegiphila novogranatensis,1,BioTIME
Aegiphila panamensis,2,BioTIME
Aegiphila sellowiana,1,BioTIME
Aegires citrinus,5,BioTIME
Aegires punctilucens,14,BioTIME
Aegisthidae ,1,BioTIME
Aegisthus ,266,BioTIME
Aegisthus aculeatus,1,BioTIME
Aegisthus dubius,4,BioTIME
Aegisthus mucronatus,3,BioTIME
Aegisthus sp,2,BioTIME
Aegithalos caudatus,547,BioTIME
Aegolius acadicus,12,BioTIME
Aegolius funereus,2,BioTIME
Aemona amathusia,1,BioTIME
Aeolidacea ,5,BioTIME
Aeolidia ,5,BioTIME
Aeolidia papillosa,78,BioTIME
Aeolidiacea ,3,BioTIME
Aeolidiella ,2,BioTIME
Aeolidiella alderi,3,BioTIME
Aeolidiella glauca,23,BioTIME
Aeolidiella sanguinea,1,BioTIME
Aeolidiidae ,5,BioTIME
Aeolidina ,1,BioTIME
Aeoliscus strigatus,24,BioTIME
Aeoloplides elegans,1,BioTIME
Aepinus septemspinosus,8,BioTIME
Aepyceros melampus,1,BioTIME
Aequipecten,1,BioTIME
Aequipecten glyptus,14,BioTIME
Aequipecten muscosus,25,BioTIME
Aequipecten opercularis,213,BioTIME
Aequorea ,2,BioTIME
Aequorea macrodactyla,1,BioTIME
Aequorea vitrina,3,BioTIME
Aeronautes saxatalis,131,BioTIME
Aeropedellus clavatus,1,BioTIME
Aeropsis rostrata,1,BioTIME
Aesalus asiaticus,2,BioTIME
Aeschynomene pratensis,14,BioTIME
Aesculus hippocastanum,1,BioTIME
Aesopia cornuta,21,BioTIME
Aesopia sp,1,BioTIME
Aesopus stearnsii,1,BioTIME
Aetea ,1,BioTIME
Aetea anguina,119,BioTIME
Aetea australis,53,BioTIME
Aetea capillaris,293,BioTIME
Aetea ligulata,8,BioTIME
Aetea sica,8,BioTIME
Aetea truncata,21,BioTIME
Aethaloperca rogaa,5,BioTIME
Aethalura intertexta,1,BioTIME
Aethalura punctulata,1,BioTIME
Aetheloperca rogaa,13,BioTIME
Aetheopappus caucasicus,1,BioTIME
Aethes cnicana,1,BioTIME
Aethes margaritana,1,BioTIME
Aethes rubigana,1,BioTIME
Aethes rutilana,1,BioTIME
Aethes smeathmanniana,1,BioTIME
Aethia cristatella,1,BioTIME
Aethia psittacula,14,BioTIME
Aethomys hindei,81,BioTIME
Aethotaxis mitopteryx,12,BioTIME
Aetideidae ,117,BioTIME
Aetideopsis ,15,BioTIME
Aetideopsis armata,19,BioTIME
Aetideopsis carinata,6,BioTIME
Aetideopsis minor,20,BioTIME
Aetideopsis multiserrata,9,BioTIME
Aetideopsis rostrata,99,BioTIME
Aetideus ,57,BioTIME
Aetideus acutus,10,BioTIME
Aetideus arcuatus,4,BioTIME
Aetideus armatus,256,BioTIME
Aetideus australis,1,BioTIME
Aetideus bradyi,4,BioTIME
Aetideus geisbrechti,18,BioTIME
Aetideus giesbrechti,3,BioTIME
Aetideus pacificus,2,BioTIME
Aetideus pseudarmatus,1,BioTIME
Aetideus sp,6,BioTIME
Aetobatus narinari,98,BioTIME
Aetomylaeus nichofii,20,BioTIME
Aeverrillia armata,2,BioTIME
Aeverrillia pilosa,2,BioTIME
Aeverrillia setigera,1,BioTIME
Aeverrillia sp,24,BioTIME
Agalinis aspera,1,BioTIME
Agalinus purpurea,3,BioTIME
Agalma elegans,88,BioTIME
Agalma okeni,279,BioTIME
Agalma sp,10,BioTIME
Agapeta hamana,1,BioTIME
Agapetus fuscipes,1,BioTIME
Agardhiella tenera,99,BioTIME
Agaricia fragilis,4,BioTIME
Agaricochirus alexandri,5,BioTIME
Agarum clathratum,1,BioTIME
Agarum fimbriatum,1,BioTIME
Agassizia excentrica,1,BioTIME
Agathidium nigripenne,6,BioTIME
Agathis atropurpurea,1,BioTIME
Agathis robusta,3,BioTIME
Agathosma bifida,1,BioTIME
Agathosma capensis,2,BioTIME
Agathosma ciliaris,7,BioTIME
Agathosma hookeri,13,BioTIME
Agathosma imbricata,19,BioTIME
Agathosma lanceolata,1,BioTIME
Agathosma serpyllacea,4,BioTIME
Agathotoma candidissima,5,BioTIME
Agatrix smithii,1,BioTIME
Agelaius phoeniceus,1133,BioTIME
Agelaius tricolor,13,BioTIME
Agelas mauritiana,4,BioTIME
Agelas sp2,2,BioTIME
Agelas sp3,3,BioTIME
Agelasa nigriceps,3,BioTIME
Agelosus carinatus,16,BioTIME
Agelosus unicolor,2,BioTIME
Ageneotettix deorum,16,BioTIME
Ageratina herbacea,1,BioTIME
Ageratum altissimum,1,BioTIME
Agetus flaccus,46,BioTIME
Agetus limbatus,17,BioTIME
Agetus sp,13,BioTIME
Agetus typicus,12,BioTIME
Agkistrodon contortrix,1,BioTIME
Aglaia aspera,1,BioTIME
Aglaia australiensis,1,BioTIME
Aglaia barberi,1,BioTIME
Aglaia cordata,1,BioTIME
Aglaia exstipulata,1,BioTIME
Aglaia forbesii,1,BioTIME
Aglaia ganggo,1,BioTIME
Aglaia glabriflora,1,BioTIME
Aglaia grandis,1,BioTIME
Aglaia jainii,1,BioTIME
Aglaia meliosmoides,1,BioTIME
Aglaia meridionalis,2,BioTIME
Aglaia odoratissima,1,BioTIME
Aglaia oligocarpa,1,BioTIME
Aglaia oligophylla,1,BioTIME
Aglaia palembanica,1,BioTIME
Aglaia ridleyi,1,BioTIME
Aglaia rubescens,1,BioTIME
Aglaia rufa,1,BioTIME
Aglaia sapindina,2,BioTIME
Aglaia sp1,1,BioTIME
Aglaia sp11,1,BioTIME
Aglaia sp12,1,BioTIME
Aglaia sp2,1,BioTIME
Aglaia sp23,1,BioTIME
Aglaia sp3,1,BioTIME
Aglaia sp4,1,BioTIME
Aglaia sp5,1,BioTIME
Aglaia sp7,1,BioTIME
Aglaia tenuicaulis,1,BioTIME
Aglaia tomentosa,3,BioTIME
Aglais io,14,BioTIME
Aglais urticae,8,BioTIME
Aglaja ,12,BioTIME
Aglaja ocelligera,13,BioTIME
Aglajidae ,1,BioTIME
Aglantha ,11,BioTIME
Aglantha digitale,309,BioTIME
Aglantha digitalis,537,BioTIME
Aglantha sp,4,BioTIME
Aglaodiaptomus clavipes,9,BioTIME
Aglaophamus ,46,BioTIME
Aglaophamus circinata,379,BioTIME
Aglaophamus erectans,2,BioTIME
Aglaophamus igalis,18,BioTIME
Aglaophamus inermis,9,BioTIME
Aglaophamus lyrochaeta,1,BioTIME
Aglaophamus malmgreni,6,BioTIME
Aglaophamus minusculus,2,BioTIME
Aglaophamus rubella,24,BioTIME
Aglaophamus sp,3,BioTIME
Aglaophamus spA,15,BioTIME
Aglaophamus verilli,1,BioTIME
Aglaophamus verrilli,457,BioTIME
Aglaophenia ,63,BioTIME
Aglaophenia acacia,1,BioTIME
Aglaophenia kirchenpaueri,8,BioTIME
Aglaophenia pluma,84,BioTIME
Aglaophenia sp,40,BioTIME
Aglaophenia tubulifera,68,BioTIME
Aglaopheniidae ,2,BioTIME
Aglaothamnion ,5,BioTIME
Aglaothamnion bipinnatum,4,BioTIME
Aglaothamnion byssoides,33,BioTIME
Aglaothamnion hookeri,35,BioTIME
Aglaothamnion pseudobyssoides,2,BioTIME
Aglaothamnion roseum,8,BioTIME
Aglaothamnion sepositum,28,BioTIME
Aglaothamnion tripinnatum,1,BioTIME
Aglaozonia cutleria,181,BioTIME
Aglaura hemistoma,58,BioTIME
Aglossa caprealis,1,BioTIME
Aglossa pinguinalis,1,BioTIME
Agnewia tritoniformis,31,BioTIME
Agnezia septentrionalis,7,BioTIME
Agonandra brasiliensis,3,BioTIME
Agonandra excelsa,3,BioTIME
Agonidae ,2026,BioTIME
Agonopsis vulsa,12,BioTIME
Agonopterix angelicella,1,BioTIME
Agonopterix arenella,1,BioTIME
Agonopterix conterminella,1,BioTIME
Agonopterix heracliana,1,BioTIME
Agonopterix liturosa,1,BioTIME
Agonopterix ocellana,1,BioTIME
Agonopterix purpurea,1,BioTIME
Agonopterix subpropinquella,1,BioTIME
Agonostomus monticola,3,BioTIME
Agonum aurelium,3,BioTIME
Agonum chalcomum,1,BioTIME
Agonum eurydamas,1,BioTIME
Agonum fuliginosum,1,BioTIME
Agonum gracile,1,BioTIME
Agonum japonicum,1,BioTIME
Agonum kitanoi,2,BioTIME
Agonum lampros,3,BioTIME
Agonum piceum,1,BioTIME
Agonum sp,3,BioTIME
Agonum thoreyi,1,BioTIME
Agonus acipenserinus,477,BioTIME
Agonus cataphractus,202,BioTIME
Agoseris sp,1,BioTIME
Agoseris taraxacifolia,1,BioTIME
Agraylea sp,4,BioTIME
Agriopis aurantiaria,1,BioTIME
Agriopis marginaria,1,BioTIME
Agriopoma texasiana,15,BioTIME
Agriopoma texasianum,24,BioTIME
Agriphila geniculea,1,BioTIME
Agriphila inquinatella,1,BioTIME
Agriphila latistria,1,BioTIME
Agriphila selasella,1,BioTIME
Agriphila straminella,1,BioTIME
Agriphila tristella,1,BioTIME
Agrius convolvuli,1,BioTIME
Agrochola circellaris,1,BioTIME
Agrochola litura,1,BioTIME
Agrochola lota,1,BioTIME
Agrochola lychnidis,1,BioTIME
Agrochola macilenta,1,BioTIME
Agrochola pulchella,1,BioTIME
Agrochola purpurea,1,BioTIME
Agroperina dubitans,1,BioTIME
Agroperina lateritia,1,BioTIME
Agropsar philippensis,42,BioTIME
Agropyron repens,10,BioTIME
Agropyron smithii,1,BioTIME
Agrostichthys parkeri,33,BioTIME
Agrostis alpina,2,BioTIME
Agrostis canina,3,BioTIME
Agrostis capillaris,35,BioTIME
Agrostis hyemalis,1,BioTIME
Agrostis rupestris,7,BioTIME
Agrostis stolonifera,11,BioTIME
Agrostis vinealis,20,BioTIME
Agrostistachys borneensis,1,BioTIME
Agrotera nemoralis,1,BioTIME
Agrotis clavis,1,BioTIME
Agrotis exclamationis,1,BioTIME
Agrotis ipsilon,2,BioTIME
Agrotis obliqua,1,BioTIME
Agrotis segetum,1,BioTIME
Agrotis vancouverensis,1,BioTIME
Agrotis vestigialis,1,BioTIME
Agrypnus cordicollis,6,BioTIME
Ahliesaurs berryi,9,BioTIME
Ahnfeldtia plicata,27,BioTIME
Ahnfeltia ,1,BioTIME
Ahnfeltia plicata,209,BioTIME
Ahnfeltiopsis devoniensis,7,BioTIME
Ahnfeltiopsis flabelliformis,2,BioTIME
Ahnfeltiopsis paradoxa,2,BioTIME
Ahredoderus sayanus,1,BioTIME
Aidanosagitta naikaiensis,35,BioTIME
Aidanosagitta neglecta,1,BioTIME
Aidanosagitta regularis,16,BioTIME
Aidia wallichiana,1,BioTIME
Ailanthus integrifolia,1,BioTIME
Aimophila aestivalis,31,BioTIME
Aimophila botterii,3,BioTIME
Aimophila carpalis,2,BioTIME
Aimophila cassinii,10,BioTIME
Aimophila ruficeps,11,BioTIME
Aimulosia costata,2,BioTIME
Aimulosia marsupium,51,BioTIME
Aiphanes erinacea,1,BioTIME
Aiptasia ,1,BioTIME
Aiptasia mutabilis,23,BioTIME
Aiptasiomorpha texaensis,1,BioTIME
Aipysurus duboisii,15,BioTIME
Aipysurus eydouxii,7,BioTIME
Aipysurus laevis,9,BioTIME
Aix galericulata,42,BioTIME
Aix sponsa,7,BioTIME
Aizoon paniculatum,1,BioTIME
Ajuga pyramidalis,3,BioTIME
Ajuga reptans,4,BioTIME
Aka sp1,1,BioTIME
Akanthophoreus australis,14,BioTIME
Akanthophoreus gracilis,2,BioTIME
Akarotaxis nudiceps,19,BioTIME
Akashiwo sanguinea,57,BioTIME
Akatopora circumsaepta,22,BioTIME
Akera bullata,27,BioTIME
Alaba incerta,1,BioTIME
Alaba picta,2,BioTIME
Alangium ebenaceum,1,BioTIME
Alangium griffithii,1,BioTIME
Alangium nobile,1,BioTIME
Alangium ridleyi,1,BioTIME
Alangium sp,1,BioTIME
Alangium villosum,5,BioTIME
Alaria crassifolia,2,BioTIME
Alaria esculenta,292,BioTIME
Alatocladia yessoensis,1,BioTIME
Alauda arvensis,153,BioTIME
Alaudidae ,1,BioTIME
Alaysia ,6,BioTIME
Albatrossia pectoralis,157,BioTIME
Albizia niopoides,3,BioTIME
Albizia odoratissima,1,BioTIME
Albizia pedicellata,1,BioTIME
Albizia polycephala,1,BioTIME
Albizia sp,1,BioTIME
Albula forsteri,3,BioTIME
Albula glossodonta,1,BioTIME
Albula vulpes,3,BioTIME
Albunea gibbesii,10,BioTIME
Albunea groeningi,21,BioTIME
Albunea paretii,18,BioTIME
Alburnus alburnus,7,BioTIME
Alca torda,1127,BioTIME
Alcadia alta,1,BioTIME
Alcadia striata,1,BioTIME
Alcaldia striata,1,BioTIME
Alcedo atthis,133,BioTIME
Alces alces,1,BioTIME
Alchemilla alpina,7,BioTIME
Alchemilla caucasica,1,BioTIME
Alchemilla conjuncta,3,BioTIME
Alchemilla pentaphyllea,3,BioTIME
Alchemilla sp,11,BioTIME
Alchemilla vulgaris,7,BioTIME
Alchornea coelophylla,1,BioTIME
Alchornea costaricensis,1,BioTIME
Alchornea glandulosa,5,BioTIME
Alchornea latifolia,2,BioTIME
Alchornea rugosa,2,BioTIME
Alchornea sp,1,BioTIME
Alchornea sp1,1,BioTIME
Alchornea sp3,1,BioTIME
Alchornea triplinervia,2,BioTIME
Alcidae ,284,BioTIME
Alciopidae ,5,BioTIME
Alcis repandata,1,BioTIME
Alcospira rosea,2,BioTIME
Alcyonacea ,195,BioTIME
Alcyonidiidae ,1,BioTIME
Alcyonidium ,84,BioTIME
Alcyonidium albidum,1,BioTIME
Alcyonidium cellarioides,2,BioTIME
Alcyonidium coccineum,1,BioTIME
Alcyonidium diaphanum,296,BioTIME
Alcyonidium gelatinosum,182,BioTIME
Alcyonidium hirsutum,226,BioTIME
Alcyonidium mamillatum,6,BioTIME
Alcyonidium mytili,60,BioTIME
Alcyonidium parasiticum,46,BioTIME
Alcyonidium polyoum,10,BioTIME
Alcyonidium sp,3,BioTIME
Alcyonidium verrilli,1,BioTIME
Alcyoniidae ,4,BioTIME
Alcyonium ,5,BioTIME
Alcyonium carneum,15,BioTIME
Alcyonium digitatum,434,BioTIME
Alcyonium glomeratum,39,BioTIME
Alcyonium palmatum,6,BioTIME
Alcyonium rudyi,5,BioTIME
Alderia modesta,18,BioTIME
Alderina imbellis,4,BioTIME
Alderina nodulosa,2,BioTIME
Alderina pacifera,21,BioTIME
Alderina tuberosa,4,BioTIME
Aldisa zetlandica,1,BioTIME
Aldrichetta forsteri,211,BioTIME
Aldrovandia ,4,BioTIME
Aldrovandia affinis,16,BioTIME
Aldrovandia gracilis,3,BioTIME
Aldrovandia oleosa,6,BioTIME
Aldrovandia phalacra,19,BioTIME
Aldrovandia rostrata,1,BioTIME
Alectis alexandrinus,17,BioTIME
Alectis ciliaris,124,BioTIME
Alectis indica,38,BioTIME
Alectoria nigricans,4,BioTIME
Alectoria nitidula,1,BioTIME
Alectoria ochroleuca,6,BioTIME
Alectoria sp,1,BioTIME
Alectoris chukar,25,BioTIME
Aleimma loeflingiana,1,BioTIME
Alentia gelatinosa,78,BioTIME
Alentiana aurantiaca,5,BioTIME
Aleochara binotata,1,BioTIME
Aleochara bipustulata,1,BioTIME
Aleochara sp,14,BioTIME
Aleocharinae ,17,BioTIME
Aleocharinae sp,1,BioTIME
Alepes apercna,168,BioTIME
Alepes djedaba,16,BioTIME
Alepes djeddaba,2,BioTIME
Alepes kalla,7,BioTIME
Alepes kleinii,1,BioTIME
Alepes sp41,1,BioTIME
Alepisaurus ,17,BioTIME
Alepisaurus brevirostris,101,BioTIME
Alepisaurus ferox,117,BioTIME
Alepisaurus sp,17,BioTIME
Alepocephalidae ,60,BioTIME
Alepocephalus ,16,BioTIME
Alepocephalus agassizii,25,BioTIME
Alepocephalus antipodianus?,176,BioTIME
Alepocephalus australis,3292,BioTIME
Alepocephalus bairdii,67,BioTIME
Alepocephalus bicolor,9,BioTIME
Alepocephalus productus,12,BioTIME
Alepocephalus rostratus,61,BioTIME
Alepocephalus sp,3022,BioTIME
Alertichthys blacki,275,BioTIME
Alertigorgia orientalis,54,BioTIME
Aleurites rockinghamensis,4,BioTIME
Alexandrium ,1,BioTIME
Alexandrium catenella,6,BioTIME
Alexandrium fraterculus,1,BioTIME
Alexandrium insuetum,20,BioTIME
Alexandrium margalefii,12,BioTIME
Alexandrium minutum,27,BioTIME
Alexandrium ostenfeldii,4,BioTIME
Alexandrium pseudogonyaulax,13,BioTIME
Alexandrium sp,25,BioTIME
Alexandrium tamarense,23,BioTIME
Alexania inazawai,2,BioTIME
Aleyroididae sp,1,BioTIME
Algae ,12,BioTIME
Algirosphaera robusta,11,BioTIME
Algirosphaera sp,1,BioTIME
Algon grandicollis,17,BioTIME
Alia carinata,6,BioTIME
Alia gausapata,6,BioTIME
Alia sp,2,BioTIME
Alia tuberosa,1,BioTIME
Alibertia dwyeri,1,BioTIME
Alibertia edulis,3,BioTIME
Alibertia macrophylla,2,BioTIME
Alienacanthomysis macropsis,6,BioTIME
Aligena elevata,78,BioTIME
Aligena sp1,2,BioTIME
Aligena texasiana,36,BioTIME
Alisphaera ,17,BioTIME
Alitta succinea,71,BioTIME
Alitta virens,18,BioTIME
Alkmaria romijni,10,BioTIME
Allantactis parasitica,2,BioTIME
Alle alle,5569,BioTIME
Allia ramosa,32,BioTIME
Alliodoris hedley,2,BioTIME
Allionia incarnata,2,BioTIME
Allita virens,16,BioTIME
Allium acuminatum,1,BioTIME
Allium angulosum,1,BioTIME
Allium canadense,1,BioTIME
Allium drummondii,1,BioTIME
Allium macropetalum,2,BioTIME
Allium schoenoprasum,1,BioTIME
Allium sp,2,BioTIME
Allium stellatum,1,BioTIME
Allium textile,2,BioTIME
Allocentrotus fragilis,131,BioTIME
Alloclinus holderi,44,BioTIME
Allocyttus folletti,9,BioTIME
Allocyttus niger,3330,BioTIME
Allocyttus verrucosus,1399,BioTIME
Allogalathea elegans,46,BioTIME
Allogromia ,1,BioTIME
Allomelita pellucida,2,BioTIME
Allomycterus jaculiferus,680,BioTIME
Allomycterus pilatus,187,BioTIME
Allophyes oxyacanthae,1,BioTIME
Allophyllus guaraniticus,1,BioTIME
Allophylus cobbe,2,BioTIME
Allophylus edulis,16,BioTIME
Allophylus excelsus,1,BioTIME
Allophylus guaraniticus,15,BioTIME
Allophylus psilospermus,1,BioTIME
Alloplectus schultzei,1,BioTIME
Alloposus mollis,2,BioTIME
Allorchestes angusta,31,BioTIME
Allorchestes sp,7,BioTIME
Allosmerus elongatus,245,BioTIME
Allostichaster farquhari,12,BioTIME
Allostichaster insignis,39,BioTIME
Allostichaster polyplax,10,BioTIME
Alloteuthis subulata,15,BioTIME
Allothunnus fallai,13,BioTIME
Allothyone mexicana,14,BioTIME
Alloxylon wickhamii,3,BioTIME
Almyracuma ,7,BioTIME
Almyracuma proximoculi,47,BioTIME
Alnus glutinosa,4,BioTIME
Alnus incana,2,BioTIME
Alnus rubra,39,BioTIME
Alnus sinuata,1,BioTIME
Alnus sp,1,BioTIME
Alnus viridis,1,BioTIME
Aloconota gregaria,1,BioTIME
Alona ,6,BioTIME
Alona quadrangularis,1,BioTIME
Alona sp,10,BioTIME
Alonellan nana,1,BioTIME
Alopecurus alpinus,2,BioTIME
Alopecurus borealis,2,BioTIME
Alopecurus geniculatus,1,BioTIME
Alopecurus pratensis,14,BioTIME
Alophyllus edulis,1,BioTIME
Alopias superciliosus,3,BioTIME
Alopias vulpinus,13,BioTIME
Alosa aestivalis,5062,BioTIME
Alosa alosa,12,BioTIME
Alosa fallax,13,BioTIME
Alosa mediocris,70,BioTIME
Alosa pseudoharengus,15450,BioTIME
Alosa sapidissima,5232,BioTIME
Alox rugosum,1,BioTIME
Aloysia virgata,3,BioTIME
Alphareus furca,2,BioTIME
Alpheidae ,71,BioTIME
Alpheopsis ,2,BioTIME
Alpheopsis labis,6,BioTIME
Alpheopsis trispinosus,4,BioTIME
Alphestes afer,4,BioTIME
Alpheus ,102,BioTIME
Alpheus amblyonyx,18,BioTIME
Alpheus armatus,1,BioTIME
Alpheus armillatus,3,BioTIME
Alpheus astrinx,4,BioTIME
Alpheus bouvieri,5,BioTIME
Alpheus brevicristatus,7,BioTIME
Alpheus californiensis,5,BioTIME
Alpheus estuariensis,13,BioTIME
Alpheus euphrosyne,1,BioTIME
Alpheus floridanus,48,BioTIME
Alpheus formosus,2,BioTIME
Alpheus glaber,1,BioTIME
Alpheus heterochaelis,19,BioTIME
Alpheus leptochirus,1,BioTIME
Alpheus macrocheles,7,BioTIME
Alpheus malleator,1,BioTIME
Alpheus normanni,84,BioTIME
Alpheus paracrinitus,2,BioTIME
Alpheus rapax,3,BioTIME
Alpheus sp,35,BioTIME
Alpheus sp29,7,BioTIME
Alpheus sp3,1,BioTIME
Alpheus sp7,1,BioTIME
Alphitonia petriei,4,BioTIME
Alphitonia whitei,11,BioTIME
Alphonsea elliptica,1,BioTIME
Alphonsea maingayi,1,BioTIME
Alphonsea sp1,1,BioTIME
Alseis blackiana,1,BioTIME
Alseodaphne nigrescens,1,BioTIME
Alseodaphne peduncularis,1,BioTIME
Alseodaphne perakensis,1,BioTIME
Alseodaphne sp1,1,BioTIME
Alseodaphne sp2,1,BioTIME
Alsophila aescularia,1,BioTIME
Alsophila engelii,1,BioTIME
Alsophila erinacea,1,BioTIME
Alstonia angustiloba,1,BioTIME
Alstonia muelleriana,4,BioTIME
Alstonia scholaris,5,BioTIME
Alternanthera philoxeroides,1,BioTIME
Alternochelata ,9,BioTIME
Alteutha ,5,BioTIME
Alteutha depressa,3,BioTIME
Alteutha interrupta,2,BioTIME
Altica oleracea,1,BioTIME
Altilcola macrotis,1,BioTIME
Alucita hexadactyla,1,BioTIME
Aluterus heudelotii,256,BioTIME
Aluterus monoceros,316,BioTIME
Aluterus schoepfi,8,BioTIME
Aluterus schoepfii,838,BioTIME
Aluterus scriptus,134,BioTIME
Aluterus sp,36,BioTIME
Alvania ,69,BioTIME
Alvania auberiana,86,BioTIME
Alvania beanii,6,BioTIME
Alvania brychia,27,BioTIME
Alvania carinata,48,BioTIME
Alvania cimicoides,1,BioTIME
Alvania compacta,118,BioTIME
Alvania exarata,19,BioTIME
Alvania harpa,3,BioTIME
Alvania lactea,1,BioTIME
Alvania pelagica,14,BioTIME
Alvania precipitata,3,BioTIME
Alvania pseudoareolata,15,BioTIME
Alvania punctulum,1,BioTIME
Alvania punctura,19,BioTIME
Alvania rosana,27,BioTIME
Alvania semistriata,16,BioTIME
Alvania sp,1,BioTIME
Alvania sp1,7,BioTIME
Alvania sp2,2,BioTIME
Alvania sp3,2,BioTIME
Alvania sp9,1,BioTIME
Alvania tumida,1,BioTIME
Alveinus ojianus,2,BioTIME
Alveopora ,21,BioTIME
Alveopora japonica,1,BioTIME
Alveopora sp,2,BioTIME
Alveopora spongiosa,2,BioTIME
Alvinellidae ,6,BioTIME
Alviniconcha ,13,BioTIME
Alviniconcha hessleri,4,BioTIME
Alvinocarididae ,25,BioTIME
Alvinocaris ,12,BioTIME
Alvinocaris brevitelsonis,4,BioTIME
Alvinocaris longirostris,32,BioTIME
Alvinocaris niwa,2,BioTIME
Amaea retifera,5,BioTIME
Amaeana ,2,BioTIME
Amaeana accraensis,62,BioTIME
Amaeana occidentalis,144,BioTIME
Amaeana sp2,2,BioTIME
Amaeana trilobata,72,BioTIME
Amage ,4,BioTIME
Amage adspersa,1,BioTIME
Amage anops,17,BioTIME
Amage auricula,9,BioTIME
Amage sp,1,BioTIME
Amage tumida,1,BioTIME
Amaioua corymbosa,2,BioTIME
Amaioua guianensis,1,BioTIME
Amaioua intermedia,2,BioTIME
Amakusanthura ,13,BioTIME
Amakusanthura californiensis,4,BioTIME
Amakusanthura inornata,3,BioTIME
Amakusanthura magnifica,312,BioTIME
Amakusanthura signata,49,BioTIME
Amakusanthura sp1,3,BioTIME
Amallophora crassirostris,1,BioTIME
Amallothrix altera,7,BioTIME
Amallothrix auropecten,2,BioTIME
Amallothrix emarginata,1,BioTIME
Amallothrix falcifer,7,BioTIME
Amallothrix inornata,1,BioTIME
Amallothrix paravalida,1,BioTIME
Amallothrix propinqua,40,BioTIME
Amallothrix sp,6,BioTIME
Amallothrix valida,1,BioTIME
Amalosoma eddystonense,23,BioTIME
Amanses scopas,63,BioTIME
Amansia ,17,BioTIME
Amansia dietrichiana,9,BioTIME
Amansia glomerata,30,BioTIME
Amansia rhodantha,3,BioTIME
Amansia sp,3,BioTIME
Amara apricaria,1,BioTIME
Amara aulica,1,BioTIME
Amara bifrons,1,BioTIME
Amara consularis,1,BioTIME
Amara convexiuscula,1,BioTIME
Amara gebleri,1,BioTIME
Amara majuscula,1,BioTIME
Amara municipalis,1,BioTIME
Amara sp,1,BioTIME
Amaranthus ,1,BioTIME
Amaranthus albus,1,BioTIME
Amaranthus blitoides,1,BioTIME
Amaranthus palmer,1,BioTIME
Amaranthus palmeri,2,BioTIME
Amaranthus retroflexus,2,BioTIME
Amaranthus sp,2,BioTIME
Amaroucium stellatum,2,BioTIME
Amastigia funiculata,3,BioTIME
Amastigia harmeri,3,BioTIME
Amastigia nuda,1,BioTIME
Amastigia puysegurensis,2,BioTIME
Amastigia rudis,37,BioTIME
Amastigia sp,1,BioTIME
Amastigos ,123,BioTIME
Amastigos caperatus,28,BioTIME
Amathia ,2,BioTIME
Amathia alternata,18,BioTIME
Amathia convoluta,1,BioTIME
Amathia crispa,187,BioTIME
Amathia distans,3,BioTIME
Amathia lendigera,20,BioTIME
Amathia pruvoti,1,BioTIME
Amathia sp,524,BioTIME
Amathia vidovici,2,BioTIME
Amathia wilsoni,3,BioTIME
Amathimysis ,2,BioTIME
Amathimysis serrata,2,BioTIME
